input_ids,token_type_ids,attention_mask,labels
"[     1    260  22520   1237   9839    638    316  97272   3672   6440
 231483 105054    294    397 192277    262    260  15900   2078  13855
   1429  68024    355   6066    749  15214    572   1008  28161  11560
    924   6650 112536    311   1725  71805    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
 0]"
"[     1   1326  11971    508    918  77821   3637  46638    686    262
   5139   3252  22060 103299    316   4279    325  18956   1401  19962
    309  19822   5489    325  88341  16371  86673   4279    309  75943
    280    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 0 0 0 0]
"[     1  93644 110323  46638    260    280  54732  15486 191895    260
  43480  87014    412   2154  19139 150831    588    375 105638    262
    893    316  11404    325  33944   1610   8089    426  16121    355
    262   2022   1634  10901   4014    779    260  21693   9782  38547
 103068  33983    262   5775  40067    658    262    260   4691    260
  24882   1123    611 101972    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   2154    910  21539    584    260 154575   3952    260  37777
   3482  27307    280    426  19227  46439    260 150440  23346  74782
    262    316  14819    390    260  89359    280   1621  52723   3441
    262   1365  14236   9590  54787    262  18500  21562  30623  21511
   1041 128043   1776  34921   1776    457  30283    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1    405  64640   3577   9000   2777  40096   1093 103911  10011
   1041   9428  43187    918  86988   1401    389  66349 166344  93241
   4615  38286  64034 204234    834  34996   8089    993    260  65336
    325  21334    894  66349   1035    260  24133    818  28629    280
    262   2022   3577   6014  11427   2008  17879  40969    686   1610
  21412    434  16133    434    662   8314    389  15309  46865    314
 158815    412   8153    755   1768  24365    584  12682   1067    265
    833    402    316  78463   2794    662  69937    947  24228   1826
    662    389  65922  85434    311   1714  43974 192398    316  35938
  45131    262    731    260  22458    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 1
 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   1310  60659  15026 199135    280  31019 185564    375    645
  13136  77396   1078 149143    262    260   3799    260  25287   2078
  43476    390    584    260  71444   1078  89261 127246   4858  35200
   1237    584  23179 170174    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0]
"[     1   3777  23670    638  59888    921   3482  17704    262   1214
  41861   1331    262   3496   1324    280   1183  92008  52601  17941
    390    260  41432   1237    311    260  84278    390    262    260
  38510  16234   1359    260  30784   8302   2759   1965   2440 182439
  70423   1633   9884   5356    260  25975   1317  36895  15379    261
      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   1074    260  30976    397    260  62678  16779 200838    260
  14057  20981  49569   1041    375 105638    262    893  18107    260
   3332    316  10290  15542   1294    260  58275    316  19452    280
  16133    434   2532  82836  26475    426  40737  25244 170898    280
    316    260  64225    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0
 0 0 0 0 0 1 0 0]"
"[     1   5779   2840  23947    262    893    260  91310    262   8047
  58195  36007   7718    260  64225    309    262    389  13891   6969
   1349   4307  51979   2567    426    260  26412  24812    638 115012
   6445  33944    355    262    260   4691    316    447  62774  18570
   5724    588  47871  18015    311   2840  18470   2730    260  23677
    894    260  65500    309    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   1052   1581 219486  25777  52972  13724    260 100088    990
   5596   1012    262   1159   3498   3101    260  13643   1532  19924
   1078    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1   3772   1122    833 205899 123784    260 231162  23834  10767
   3895    260 121747  39154    262    260 161218    311  47792  68814
    390  38078  22857  54396    262    260  73508    260  18684  63974
  64467  74113 138345    260  13074    325    311    426  79828    260
    390   2078  37168   1633  59848   1261    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
"[     1  23227 157880 118690 116907  55244    355  54422  22472  18218
  16853    389  13653  16275    457  27460  64679    292      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0]
"[     1  13729    316   1109  24380  65411    309 116040  92336    355
  22991  17941   3482  30322    280    316   3574  28228   2454    261
      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0]
"[     1    636    260  24495    325    655   4110    260  33449    260
  49676    262    893    260  66175   1345  16779  83946 225445    397
    806  13486  32801    309    316  95666    749  49851   4014    402
    260  45503    325 107732   4110    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
"[     1    405  70261  24948  12961    457 222431  96346   4314  43873
  39726 117335   3643   3857    316   5900    262    893   4178    894
  59236   2014   9441    262    260    280  35305 108120  26119   5489
   5871   1499   9782    260  47765  46439   1826    662    375 105638
  40042  15501   2532   7797   1401  45011    309    389    260  75034
  22667    260  82059    265  98387    638  10286   4250    818   1279
  22912    262  19708   3726  15486  63521   5264  10472      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 1 0 0 0 0 0 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   2493    260   2440   2267  55873  14221   1036  68551    611
  14654  67747   1074  42771   3813   8416   8153 121771  36950    638
  18326 116259    375  19473   1776    260  25647    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1    636    311  16836    260  29071    260 106300  73971   3054
  18718 200296    262    316  14456   6151   2022    894    260  22753
    280   5596   1012  11298  39878  10417    426  71877   5478    389
  72973 105991  30901 116070  23558 158072    262 153770   4947  34413
    265  64066    434    260  32645 116941    686   8089    260    280
   4567    606   9329    262  12649  22201    316  38195    325    261
      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1  35249    375    309  94472  25592  46479  19245    260 137707
    658  24539    260  92008   6630  97229  16104    397  11166  14141
  61570    314 122587   2454 220653    312      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0]
"[     1   1052  93941 187865    390    260    669   1776    375  36244
  28655    426  15324    382  45404    260  13643  13844    260  32510
    778    311  46341  57213    544  16157 116724    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1    405 180478 107998  12097  73080  20669  28752  98245   5877
   1916    316    806  44548  48480  20533    606    311  73388    325
    260 161813    280    260  33516  36797   2900  53342   3813    260
 137170   1503  13376   1401  18956   1420    262    316    260 184517
   3284 224905   5344 129052   1499   1257   1437  17944    434    260
    280    260  62621    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   1052  29542    262    316  71601   1257   4263  36368   6036
  81373    260 128293   2454   1497   4023   2078    544   3341   4145
  22899  50962 167602    559 130071    687  71031    323    260 192002
    309    260    544  56678 139485    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0]
"[     1  52260   2476    375  35869  72083    434  32473    687    260
  88463   6873 155490    686    389   1050 210838    611  22984    280
  20641   4723  18951  63299   1141    260  82668    686    262    923
   1109    260   4847   1312  75498 184680    262    893  19433  56007
  16137  11723  31353   2573    260    736    260   3813    262    893
   2315    375  67374    316 147319   3577  54988    412   4307  16133
    818    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0]"
"[     1   3772   7585   3263   1279  68730   8089    311  59504  37642
   2014    993    316  59718 168182    325  34789    434    316    260
 100826    544  12663    316    260 164679    280   1702 215103  98779
    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
"[     1   1052  24097  71696 144810  30448   6694    405  96094    309
    437    260    280  33944   1610    260 130921   3230  51420 100802
  99632   1937 113346    355  22434    260  14260   1105  40067   3952
    655   4110    426  49864    280    260  72702    818    260 150236
    280  16121    309    275 100008  80076    484      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
"[     1   1326  11971    508   6572 175593   1012    262  36345    309
    260    280  62059    834  43610    309  21002  14111    316  12917
   2453   5085   9407    262    260    309  25481    260  78355  83106
    588    260 205230    316  12407   2528  27235  27476 177279   1610
  12917   2453   5085   6240   1610  75943    280    275 212104    955
    507    893    260    280  12978   1349    260   3206    260 137170
  25796    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1    689  13653  16275    316    260 137707    316  11219  13934
  45563 122816  10600    680  22670   9660    918   1331 105358    260
  88436    280    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0]
"[     1   1052  54430    617  13844   5356    260    606  12720    617
    584    924  67829 169523    262   1702 139305 123875    260 133231
   1078    262    260  44109  13844    260    390  42466  61460    260
  13074   7718    260  41024    262 127430   3448  54430   5935    617
    265    947  22908   1765    262    260 151132    260    508    276
    947    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1    260 145959   1432  26167    309  10662    260  16984    260
    280  67110   1257    316   1183 162371   1105    638   5724  63306
    260   3584  32227   4014    262  34822   1349    260  84591    918
  36624   4239    311 120575   3889 149281 148461   6285    824 175605
    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
"[     1   1326  51920    355  13144    309  42301    280   1858    260
  79055 151373   1345 116589  40641  41493  67187   9242 105203 231713
    262   1159   1009    311    389  75259 218971    611 182705    260
 143994  69747    316    779    749  27801    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"[     1    260  50439    262    316   6407   2684    262  12846   5614
    316  20099    397   8047   5512  53280    280    260    280  45810
    397    260  39711  40371    262    260    309    923   1109  24333
    749   5332    686    316  18946    434    260  38221   3230    262
   3565  20188  10406  67061    389  12296   1012   4001    778    311
   1257   1141    260 151212   1970    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1    636    260  20928   3206   5223  29874  17756    260  35716
    280    260  91396    280    260    280   8089    260  38717   3696
   9000 184618   1420  38486   4638    686  10662  43679  38185   9329
   1503    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1    405 225990   1012    262    260   4691    260  35368  11355
  91524  11157    311  28729    262 106236  44181  30791  34916    262
    893    260   3267    260 122256  21141   4615  16133    818    262
    316 163346    311 167904    280   1826    662    260  23947  57071
  87554    687    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
"[     1   4717    617  17806  10662  32374    638    260    280  34789
    818  38562   2094    457  50746   1045  14725   2532  18773 166832
    397    260  64225    309    389  95666   1012    316  25510    325
    810   4110    260    280   8332    309  73950    309    316    260
  84278   5286    316    260  27550    325    260   3813   3263   4110
    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]"
"[     1    865    611    658    260   2440    894   9350  13653    316
  14819    390    262    311    260 100657    262    402  12740    262
   3009    260  85365 194994 186096   6747   4904   3498  72096    390
    262   6572  43172   3319   5634   1345   1008  86706    390  57490
    390  62091   4552    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
"[     1   6124    559    611  59455   1335  13797  12134 104193   4858
  17843    294    397   4858  68271 161682    280    262    584 105658
   1765    457    999   6473    584   3458   6083    778 134866  23346
   1078   5356    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
